BFS	Gemeinde	Total	Diff	AA
2421	Aedermannsdorf	581	0.00345	0.0481928
2511	Aeschi (SO)	1270	0.00954	0.0763780
2541	Balm bei Günsberg	211	0.04455	0.0473934
2422	Balsthal	6234	-0.00590	0.3435996
2611	Bärschwil	804	0.00125	0.0970149
2471	Bättwil	1190	0.01709	0.1504202
2612	Beinwil (SO)	275	-0.02135	0.0727273
2542	Bellach	5340	0.00983	0.3003745
2543	Bettlach	4971	-0.00401	0.1886944
2513	Biberist	9151	0.03800	0.2598623
2445	Biezwil	342	0.05556	0.0526316
2514	Bolken	590	-0.00338	0.0474576
2571	Boningen	796	0.02842	0.1457286
2613	Breitenbach	3994	0.01628	0.2656485
2465	Buchegg	2521	-0.01562	0.0479968
2472	Büren (SO)	1051	-0.00755	0.1294006
2614	Büsserach	2297	-0.00087	0.1445364
2572	Däniken	2898	-0.00855	0.2187716
2516	Deitingen	2240	0.00765	0.1191964
2517	Derendingen	6608	0.00778	0.3185533
2473	Dornach	6923	0.00217	0.2689585
2535	Drei Höfe	750	0.01078	0.0853333
2573	Dulliken	5105	0.00137	0.4403526
2401	Egerkingen	4086	0.06628	0.3553598
2574	Eppenberg-Wöschnau	316	-0.03659	0.3259494
2503	Erlinsbach (SO)	3576	0.00140	0.1697427
2615	Erschwil	950	0.01604	0.1452632
2518	Etziken	975	0.06325	0.1097436
2616	Fehren	595	-0.01977	0.0420168
2544	Feldbrunnen-St.Niklaus	977	-0.01512	0.1105425
2545	Flumenthal	1056	0.05075	0.1448864
2575	Fulenbach	1773	-0.00839	0.1150592
2423	Gänsbrunnen	83	0.01220	0.1204819
2474	Gempen	906	0.00332	0.1743929
2519	Gerlafingen	5529	0.03076	0.4033279
2546	Grenchen	17746	0.00858	0.3756903
2576	Gretzenbach	2789	-0.00179	0.2513446
2617	Grindel	503	-0.03269	0.1133201
2547	Günsberg	1197	0.01699	0.0952381
2578	Gunzgen	1691	0.01929	0.1537552
2579	Hägendorf	5193	0.00718	0.2422492
2520	Halten	851	0.01673	0.0822562
2402	Härkingen	1648	0.00427	0.1717233
2491	Hauenstein-Ifenthal	307	-0.00647	0.1107492
2424	Herbetswil	573	0.01237	0.1186736
2618	Himmelried	958	0.01162	0.1252610
2475	Hochwald	1277	-0.01542	0.1174628
2476	Hofstetten-Flüh	3216	0.00031	0.1825249
2425	Holderbank (SO)	706	0.01876	0.1345609
2523	Horriwil	836	0.00723	0.0526316
2548	Hubersdorf	727	-0.01491	0.0632737
2524	Hüniken	153	0.00000	0.0392157
2549	Kammersrohr	32	0.00000	0.0312500
2580	Kappel (SO)	3286	0.00275	0.2245892
2403	Kestenholz	1852	0.00981	0.0847732
2492	Kienberg	506	-0.00197	0.1086957
2619	Kleinlützel	1221	-0.01373	0.1023751
2525	Kriegstetten	1306	-0.00457	0.1225115
2550	Langendorf	3789	-0.00915	0.1728688
2426	Laupersdorf	1811	0.00055	0.1076753
2526	Lohn-Ammannsegg	2873	0.00878	0.0891055
2551	Lommiswil	1590	0.02780	0.0861635
2493	Lostorf	3967	0.00456	0.1124275
2464	Lüsslingen-Nennigkofen	1104	0.01751	0.1150362
2527	Luterbach	3599	0.02976	0.2086691
2455	Lüterkofen-Ichertswil	879	0.05776	0.0830489
2456	Lüterswil-Gächliwil	338	0.05625	0.0384615
2427	Matzendorf	1326	-0.01119	0.0912519
2620	Meltingen	657	-0.01940	0.0776256
2457	Messen	1474	-0.00136	0.0440977
2477	Metzerlen-Mariastein	943	0.01836	0.1272534
2428	Mümliswil-Ramiswil	2395	-0.00787	0.1056367
2404	Neuendorf	2278	0.00841	0.1448639
2405	Niederbuchsiten	1265	0.01281	0.1581028
2495	Niedergösgen	3904	0.01534	0.3025102
2478	Nuglar-St. Pantaleon	1521	0.01875	0.0887574
2621	Nunningen	1916	0.00948	0.0855950
2406	Oberbuchsiten	2305	0.01141	0.2724512
2553	Oberdorf (SO)	1780	0.01772	0.0808989
2528	Obergerlafingen	1266	0.00238	0.1342812
2497	Obergösgen	2363	0.04005	0.2695726
2529	Oekingen	879	0.00918	0.0921502
2407	Oensingen	6326	0.00254	0.3694278
2581	Olten	18549	0.00259	0.2980215
2530	Recherswil	2029	0.00297	0.1182849
2582	Rickenbach (SO)	1057	0.01732	0.1816462
2554	Riedholz	2317	-0.00601	0.1057402
2479	Rodersdorf	1368	0.02472	0.1045322
2498	Rohr (SO)	93	0.00000	0.1612903
2555	Rüttenen	1483	0.01229	0.0654080
2461	Schnottwil	1139	-0.00088	0.0579456
2583	Schönenwerd	5094	0.01921	0.3839812
2480	Seewen	1026	0.01584	0.0955166
2556	Selzach	3510	0.02035	0.1737892
2601	Solothurn	16883	-0.00805	0.2207546
2584	Starrkirch-Wil	1758	0.02747	0.1507395
2499	Stüsslingen	1134	0.02532	0.0846561
2532	Subingen	3181	-0.00063	0.1848475
2500	Trimbach	6617	-0.01445	0.4068309
2463	Unterramsern	216	-0.00917	0.0694444
2585	Walterswil (SO)	744	0.01639	0.1330645
2586	Wangen bei Olten	5255	0.01999	0.2481446
2429	Welschenrohr	1089	0.00833	0.1386593
2501	Winznau	1977	0.03562	0.1785534
2502	Wisen (SO)	447	0.02759	0.0850112
2481	Witterswil	1450	-0.00138	0.1779310
2408	Wolfwil	2376	0.02414	0.1292088
2534	Zuchwil	9103	0.00132	0.4455674
2622	Zullwil	659	0.01855	0.1122914
